antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})",frozenset({'Question Complexity=High'}),0.24555555555555555,0.7666666666666667,0.16666666666666666,0.6787330316742081,0.8853039543576626,1.0,-0.021592592592592608,0.7262910798122062,-0.1465560583207643,0.19710906701708272,-0.37685843568196575,0.44806216801101706
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.20333333333333334,0.45666666666666667,0.16666666666666666,0.8196721311475409,1.794902476965418,1.0,0.0738111111111111,3.0130303030303014,0.5558995815899581,0.3378378378378378,0.6681082168359649,0.5923178173985879
"frozenset({'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",frozenset({'Question Type=Architecture'}),0.21222222222222223,0.3522222222222222,0.16666666666666666,0.7853403141361256,2.229672816159347,1.0,0.09191728395061727,3.017696476964769,0.7000752233192288,0.4189944134078212,0.668621411187844,0.6292632170049713
"frozenset({'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",frozenset({'Presales Category=Solution Architecture'}),0.18444444444444444,0.4588888888888889,0.16666666666666666,0.9036144578313253,1.9691356223927186,1.0,0.08202716049382715,5.614027777777779,0.6034695731153497,0.34965034965034963,0.8218747680661043,0.6334052918696578
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture'})","frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})",0.3111111111111111,0.33,0.16666666666666666,0.5357142857142857,1.6233766233766234,1.0,0.06399999999999999,1.443076923076923,0.5574193548387095,0.3512880562060889,0.30703624733475476,0.5203823953823954
"frozenset({'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})","frozenset({'Question Type=Architecture', 'Question Complexity=High'})",0.31,0.22444444444444445,0.16666666666666666,0.5376344086021505,2.395400830405621,1.0,0.09708888888888888,1.6773643410852712,0.8442512077294686,0.4531722054380663,0.40382660134947773,0.6401043330139465
"frozenset({'Presales Category=Solution Architecture', 'Question Complexity=High'})","frozenset({'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})",0.3055555555555556,0.2811111111111111,0.16666666666666666,0.5454545454545454,1.9403521379805966,1.0,0.0807716049382716,1.5815555555555554,0.6978666666666666,0.39682539682539675,0.3677111142335253,0.5691699604743083
"frozenset({'Question Type=Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})","frozenset({'Presales Category=Solution Architecture', 'Question Complexity=High'})",0.2811111111111111,0.3055555555555556,0.16666666666666666,0.5928853754940712,1.9403521379805964,1.0,0.0807716049382716,1.7057713052858685,0.674137042761463,0.39682539682539675,0.41375494071146246,0.5691699604743083
"frozenset({'Question Type=Architecture', 'Question Complexity=High'})","frozenset({'Presales Category=Solution Architecture', 'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'})",0.22444444444444445,0.31,0.16666666666666666,0.7425742574257426,2.395400830405621,1.0,0.09708888888888888,2.680384615384615,0.7511174785100286,0.4531722054380663,0.6269192136604965,0.6401043330139465
"frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME', 'Question Complexity=High'})","frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture'})",0.33,0.3111111111111111,0.16666666666666666,0.505050505050505,1.6233766233766231,1.0,0.06399999999999999,1.3918367346938774,0.5731343283582089,0.3512880562060889,0.28152492668621687,0.5203823953823954
